,ret
2023-11-24,0.08664210600086826
2023-11-27,-0.007160860981000106
2023-11-28,0.08551624100011694
2023-11-29,0.023589753193612985
2023-11-30,-0.02543498466450962
2023-12-01,0.15021436246365175
2023-12-04,0.04232816869444267
2023-12-05,0.026696312307521987
2023-12-06,-0.01983147393961106
2023-12-07,-0.0015622374817026979
2023-12-08,0.08874679560254432
2023-12-11,-0.15274219498624766
2023-12-12,0.0036396387484743595
2023-12-13,0.10402979834525364
2023-12-14,0.0517233672086614
2023-12-15,0.049559833631506525
2023-12-18,0.06430841795586041
2023-12-19,0.02570491854389345
2023-12-20,0.011956046557231776
2023-12-21,0.12040198030290128
2023-12-22,0.0821566209500234
2023-12-26,0.07963132040766702
2023-12-27,0.15706394154109496
2023-12-28,-0.05203086237659472
2023-12-29,-0.18253683671436344
2024-01-02,-0.043180113977693
2024-01-03,-0.04977448614380018
2024-01-04,0.024923239757914918
2024-01-05,-0.05955372729456885
2024-01-08,0.05270198394713535
2024-01-09,-0.0486420698236241
2024-01-10,0.007415355055561143
2024-01-11,-0.07252248149494295
2024-01-12,-0.11966201218382849
2024-01-16,-0.04733501883901282
2024-01-17,-0.0349630433487237
2024-01-18,-0.09589219250133314
2024-01-19,0.012185819355979715
2024-01-22,0.027802720964429352
2024-01-23,-0.03867967337088736
2024-01-24,-0.03192011000585799
2024-01-25,0.0637521357331231
2024-01-26,0.11800608061417778
2024-01-29,0.08946310495043387
2024-01-30,-0.021399224638886067
2024-01-31,-0.06600844523412586
2024-02-01,0.0002024663605747854
2024-02-02,-0.02497694812818705
2024-02-05,-0.07656715162560092
2024-02-06,0.049738366861688976
2024-02-07,0.02560711328698049
2024-02-08,0.16126069099337292
2024-02-09,0.13451840778604382
2024-02-12,0.13432816203539633
2024-02-13,-0.06342125696352507
2024-02-14,0.1488619815730942
2024-02-15,-0.03780719877616887
2024-02-16,-0.03918816097846447
2024-02-20,-0.03601612620127983
2024-02-21,-0.0705189898779398
2024-02-22,0.013162746723620293
2024-02-23,-0.053801913879426455
2024-02-26,0.17444530061882346
2024-02-27,-0.0012079124883488952
2024-02-28,-0.08779834078035291
2024-02-29,-0.06751059268686675
2024-03-01,0.048262735530069836
2024-03-04,-0.053026177942746444
2024-03-05,-0.071527764628685
2024-03-06,0.09337401526445764
2024-03-07,0.0028734141769399067
2024-03-08,0.05852841996546935
2024-03-11,-0.1093948241603378
2024-03-12,-0.015750063542281867
2024-03-13,0.042332225015673776
2024-03-14,-0.058484320356778446
2024-03-15,0.0947350336831196
2024-03-18,0.008823650864114756
2024-03-19,-0.0019935815733106415
2024-03-20,0.20094289132279794
2024-03-21,0.0060600617781171135
2024-03-22,-0.048938591928916066
2024-03-25,0.09532155734604433
2024-03-26,-0.0045730487342800115
2024-03-27,0.009246282157877038
2024-03-28,-0.0003665924932639113
2024-04-01,-0.013799562440659425
