Date,unhedged,protective_put,collar
2024-08-02,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-05,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-06,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-07,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-08,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-09,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-12,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-13,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-14,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-15,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-16,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-19,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-20,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-21,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-22,756.3404393682466,674.0267084531612,721.4235645662362
2024-08-23,774.8314515285207,690.5053144004611,739.0609289206333
2024-08-26,751.2565172077414,669.4960776135097,716.5743444847707
2024-08-27,708.8215305102948,631.6793578955683,676.098392423866
2024-08-28,656.9564801530703,585.4588633187644,626.627720808886
2024-08-29,656.6280019129938,585.166133887105,626.3144069484815
2024-08-30,656.6280019129938,585.166133887105,626.3144069484815
2024-09-03,656.6280019129938,572.447249911088,617.7744693556392
2024-09-04,656.6280019129938,572.447249911088,617.7744693556392
2024-09-05,656.6280019129938,572.447249911088,617.7744693556392
2024-09-06,656.6280019129938,572.447249911088,617.7744693556392
2024-09-09,656.6280019129938,572.447249911088,617.7744693556392
2024-09-10,656.6280019129938,572.447249911088,617.7744693556392
2024-09-11,656.6280019129938,572.447249911088,617.7744693556392
2024-09-12,656.6280019129938,572.447249911088,617.7744693556392
2024-09-13,656.6280019129938,572.447249911088,617.7744693556392
2024-09-16,656.6280019129938,572.447249911088,617.7744693556392
2024-09-17,656.6280019129938,572.447249911088,617.7744693556392
2024-09-18,656.6280019129938,572.447249911088,617.7744693556392
2024-09-19,656.6280019129938,572.447249911088,617.7744693556392
2024-09-20,656.6280019129938,572.447249911088,617.7744693556392
