theme,style,data_start,cumulative_return,cagr,mdd,sharpe,win_rate,trade_count,bh_cumulative_return,bh_cagr,bh_mdd,excess_return,bench_cumulative_return,bench_cagr,bench_mdd,excess_return_vs_benchmark,sector
COST,장기,2015-01-02,233.83,10.95,-19.75,0.94,100.0,8,566.85,17.76,-31.51,-333.02,276.69,12.11,-33.92,-42.86,필수소비재
META,장기,2015-01-02,284.37,12.3,-66.64,0.57,100.0,6,663.7,19.15,-76.74,-379.33,276.69,12.11,-33.92,7.68,커뮤니케이션서비스
MS,장기,2015-01-02,65.76,4.45,-44.34,0.3,83.33,6,455.59,15.92,-52.79,-389.83,276.69,12.11,-33.92,-210.93,금융/은행
JPM,장기,2015-01-02,67.59,4.55,-34.22,0.33,83.33,6,479.36,16.34,-43.99,-411.77,276.69,12.11,-33.92,-209.1,금융/은행
MSFT,장기,2015-01-02,373.29,14.33,-26.99,0.85,100.0,7,977.44,22.73,-37.56,-604.15,276.69,12.11,-33.92,96.6,소프트웨어/클라우드
CAT,장기,2015-01-02,98.29,6.08,-36.97,0.38,83.33,6,817.9,21.05,-46.25,-719.61,276.69,12.11,-33.92,-178.4,산업재
NOW,장기,2015-01-02,57.54,3.99,-60.28,0.28,50.0,4,846.42,21.37,-64.54,-788.88,276.69,12.11,-33.92,-219.15,소프트웨어/클라우드
GOOGL,장기,2015-01-02,181.89,9.34,-33.48,0.56,100.0,5,1198.46,24.72,-44.32,-1016.57,276.69,12.11,-33.92,-94.8,커뮤니케이션서비스
NFLX,장기,2015-01-02,44.84,3.24,-69.66,0.26,66.67,6,1400.34,26.28,-75.95,-1355.5,276.69,12.11,-33.92,-231.85,커뮤니케이션서비스
LLY,장기,2015-01-02,155.17,8.41,-30.4,0.65,100.0,4,1634.26,27.87,-34.83,-1479.09,276.69,12.11,-33.92,-121.52,헬스케어
TSM,장기,2015-01-02,307.47,12.87,-51.98,0.73,85.71,7,1794.34,28.85,-57.14,-1486.87,276.69,12.11,-33.92,30.78,반도체
AMZN,장기,2015-01-02,77.54,5.07,-51.68,0.35,80.0,5,1665.01,28.06,-56.15,-1587.47,276.69,12.11,-33.92,-199.15,임의소비재
AVGO,장기,2015-01-02,241.33,11.16,-42.5,0.61,100.0,5,4057.06,37.87,-48.79,-3815.73,276.69,12.11,-33.92,-35.36,반도체
AMD,장기,2015-01-02,239.1,11.1,-54.74,0.49,83.33,6,17664.79,56.25,-65.45,-17425.69,276.69,12.11,-33.92,-37.59,반도체
NVDA,장기,2015-01-02,162.05,8.66,-45.99,0.46,100.0,3,43119.08,68.69,-66.36,-42957.03,276.69,12.11,-33.92,-114.64,반도체
